title,excellent,great,love,beautiful,best,hope,groundbreaking,amazing
The Shawshank Redemption ,0,1,0,,0,0,0,1
The Godfather,1,1,0,0,1,0,1,0
The Godfather: Part II ,1,1,0,0,1,0,0,1
The Dark Knight ,1,1,1,0,1,0,1,1
Schindler's List,1,1,1,1,1,1,1,1
Angry Men,1,,0,0,0,0,0,0
Pulp Fiction,0,0,0,0,0,0,1,0
The Lord of the Rings: The Return of the King  ,1,0,0,1,0,0,0,1
"The Good, the Bad and the Ugly ",0,0,0,0,0,1,1,0
Fight Club,0,1,0,0,,1,0,0
The Lord of the Rings: The Fellowship of the Ring ,1,1,1,1,0,0,0,0
Star Wars: Episode V - The Empire Strikes Back ,0,0,1,0,0,0,1,0
Forrest Gump,0,0,0,0,0,1,0,0
Inception,1,0,0,0,0,0,0,0
The Lord of the Rings: The Two Towers ,1,1,0,0,1,1,0,0
One Flew Over the Cuckoo's Nest ,0,0,1,1,0,0,0,0
Goodfellas,0,0,0,0,1,0,0,0
The Matrix,0,0,1,0,0,0,0,1
Seven Samurai,0,1,0,1,0,0,1,0
Star Wars,1,0,1,0,0,1,0,0
City of God,1,0,1,0,0,0,0,0
Se7en,1,1,0,0,0,1,0,1
The Silence of the Lambs  ,0,0,0,0,0,0,0,1
It's a Wonderful Life ,1,0,0,1,0,1,0,0
The Usual Suspects,1,0,1,1,1,1,0,0
Life Is Beautiful,1,0,1,0,0,0,0,0
